"tid","Rörelsemängdsmoment (kg * m^2/s)","Förändring rörelsemängdsmoment","energi (J)","förändring energi","avstånd från analytisk lösning (m)","hastighet(m/s)","Hastighet jfr början","delta hastighet"
8.29999999999399,4000002.89859081,7.24647702954329E-07,-293714.951715521,-1.64658431667242E-07,1.14388549690435E-07,0.0470953978223868,0.177384945559671,0.000166574309735483
8.39999999999376,4000002.93688012,7.3422003010748E-07,-293714.951328378,-1.65976520527522E-07,1.18594091514733E-07,0.0472638778739724,0.181596946849311,0.000168480051585623
8.49999999999353,4000002.97530123,7.43825308235913E-07,-293714.950949492,-1.6726649809673E-07,1.22902274411635E-07,0.0474342630814631,0.185856577036578,0.000170385207490686
8.5999999999933,4000003.0138564,7.53464098890433E-07,-293714.950579045,-1.68527746313707E-07,1.27314381109299E-07,0.0476065530242951,0.190163825607377,0.000172289942831944
8.69999999999306,4000003.05254795,7.63136986714485E-07,-293714.950217218,-1.69759643675604E-07,1.31831708065032E-07,0.0477807474512097,0.194518686280243,0.000174194426914631
8.79999999999283,4000003.09137819,7.72844548135865E-07,-293714.949864201,-1.70961547696358E-07,1.36455547329795E-07,0.0479568462841648,0.198921157104119,0.000176098832955066
8.8999999999926,4000003.13034952,7.82587380454558E-07,-293714.949520185,-1.72132805564829E-07,1.41187190331199E-07,0.0481348496222367,0.203371240555918,0.000178003338071962
8.99999999999236,4000003.1694643,7.92366075641482E-07,-293714.949185366,-1.73272749037778E-07,1.46027938838629E-07,0.0483147577455129,0.207868943637821,0.000179908123276118
9.09999999999213,4000003.20872501,8.02181251424727E-07,-293714.948859944,-1.74380701989385E-07,1.50979097284512E-07,0.0484965711189792,0.212414277974479,0.000181813373466316
9.1999999999919,4000003.24813406,8.12033514874244E-07,-293714.948544123,-1.75455965090165E-07,1.56041964042038E-07,0.0486802903964021,0.217007259910053,0.000183719277422931
9.29999999999166,4000003.28769396,8.21923489269238E-07,-293714.948238113,-1.76497824466715E-07,1.61217843841146E-07,0.0488659164242089,0.221647910605221,0.000185626027806758
9.39999999999143,4000003.32740723,8.3185180721479E-07,-293714.947942127,-1.7750555669771E-07,1.66508050403587E-07,0.0490534502453679,0.226336256134198,0.000187533821159054
9.4999999999912,4000003.36727645,8.41819111530029E-07,-293714.947656382,-1.78478421264394E-07,1.71913894893781E-07,0.0492428931032712,0.231072327581781,0.000189442857903309
9.59999999999097,4000003.40730423,8.51826057468585E-07,-293714.9473811,-1.79415662993065E-07,1.77436696039422E-07,0.0494342464456211,0.235856161140529,0.000191353342349924
9.69999999999073,4000003.44749321,8.61873301394311E-07,-293714.94711651,-1.80316502618183E-07,1.83077768948285E-07,0.0496275119283242,0.240687798208105,0.000193265482703035
9.7999999999905,4000003.48784606,8.71961514548047E-07,-293714.946862844,-1.81180149882998E-07,1.88838434028197E-07,0.0498226914193953,0.245567285484883,0.000195179491071146
9.89999999999027,4000003.52836551,8.82091378162642E-07,-293714.946620339,-1.82005796545148E-07,1.94720016804935E-07,0.0500197870028735,0.250494675071838,0.000197095583478184
9.99999999999003,4000003.56905434,8.92263584573172E-07,-293714.946389238,-1.82792617708927E-07,2.00723846203267E-07,0.0502188009827525,0.255470024568813,0.000199013979879009
10.0999999999898,4000003.60991533,9.02478833442188E-07,-293714.946169789,-1.83539768716656E-07,2.06851257433974E-07,0.0504197358869293,0.260493397173232,0.000200934904176754
10.1999999999896,4000003.65095133,9.12737832869936E-07,-293714.945962246,-1.84246382706199E-07,2.13103580358438E-07,0.0506225944711731,0.265564861779327,0.00020285858424382
10.2999999999893,4000003.69216522,9.23041304723426E-07,-293714.945766869,-1.8491157316447E-07,2.19482150890809E-07,0.0508273797231188,0.270684493077971,0.000204785251945734
10.3999999999891,4000003.73355995,9.3338998730097E-07,-293714.945583923,-1.85534443808422E-07,2.25988317795868E-07,0.0510340948662855,0.275852371657137,0.000206715143166641
10.4999999999889,4000003.7751385,9.43784623785859E-07,-293714.945413679,-1.86114066380583E-07,2.32623422238776E-07,0.0512427433641253,0.281068584103132,0.000208648497839803
10.5999999999886,4000003.81690387,9.54225968463618E-07,-293714.945256415,-1.86649495970137E-07,2.39388815451502E-07,0.0514533289241053,0.286333223102632,0.000210585559980013
